price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
1150000,2018-06-12,14:22:07,61.6726395,50.7817356,11,5,2,2,3,53.0,8.5,1
2180000,2018-06-12,23:42:28,46.049551,38.166542,23,3,4,5,2,52.6,9.0,1
5300000,2018-06-13,10:40:59,55.5799788,38.2485275,50,3,4,9,2,60.0,10.0,1
4200000,2018-06-13,11:05:52,55.5752478,38.2531333,50,3,3,17,1,43.0,13.6,1
1500000,2018-06-18,13:01:53,54.8886973,38.6052049,50,3,2,2,2,40.0,6.0,1
5750000,2018-06-20,15:52:13,55.704428,37.766989,77,1,8,9,1,32.0,6.0,1
1350000,2018-06-22,14:26:40,56.3491983,30.5329775,60,1,1,5,1,38.5,11.0,1
1650000,2018-06-25,08:22:14,56.3891952,61.9614227,66,3,3,4,3,76.0,6.0,1
5350000,2018-06-25,12:11:49,47.2318203,39.7086225,61,3,8,19,2,82.0,12.0,11
5200000,2018-06-27,15:09:04,55.5065146,37.9481675,50,1,5,9,2,73.0,16.0,1
11535000,2018-06-28,17:08:39,55.7244072,37.7409377,77,1,15,24,3,80.9,14.0,1
3900000,2018-06-29,22:52:08,59.9992721,29.7702254,78,3,3,4,2,52.6,8.8,1
3400000,2018-06-30,23:16:17,56.0944479,37.5039916,50,1,4,5,2,43.9,7.0,1
2290000,2018-07-02,14:53:43,47.1974908,39.6263036,61,3,9,22,1,44.0,10.0,1
1300000,2018-07-02,15:59:26,43.0208992,44.652087,15,3,4,5,1,35.0,10.0,1
1080000,2018-07-03,07:34:59,55.4004556,86.0184299,42,3,1,2,2,42.0,6.0,1
5500000,2018-07-03,12:45:42,45.019793,39.039489,23,4,6,12,3,84.0,23.0,1
1000000,2018-07-03,15:35:00,45.1028818,38.6376167,23,1,2,3,1,40.0,12.0,1
2900000,2018-07-03,16:24:01,45.0623092,38.9657259,23,3,11,17,1,44.0,14.0,11
4500000,2018-07-04,10:52:34,59.8703882,29.8671938,78,1,1,6,3,68.0,8.3,1
1200000,2018-07-04,11:11:07,65.1328754,57.1568845,11,3,2,5,2,43.7,5.6,1
2040000,2018-07-05,14:37:09,58.0208111,38.848565,76,1,9,9,3,63.0,8.0,1
2200000,2018-07-09,13:19:37,56.128531,47.344013,21,3,3,16,2,74.0,14.0,11
2350000,2018-07-09,13:41:50,56.0787168,54.235706,2,3,5,9,2,47.0,8.4,1
6680000,2018-07-09,21:30:29,59.892994,30.4140096,78,3,2,5,2,59.0,8.0,1
2150000,2018-07-10,10:01:55,59.9125233,29.7812802,78,3,5,5,1,32.0,6.0,1
3100000,2018-07-11,16:47:23,55.7362897,49.1002256,16,1,8,10,1,39.6,8.8,1
2900000,2018-07-12,12:52:00,56.334567,38.142952,50,3,2,9,1,37.5,9.0,1
1350000,2018-07-13,16:20:50,57.6215477,39.8977411,76,3,4,5,1,33.0,7.0,1
2600000,2018-07-13,16:29:05,46.6861046,38.2920057,23,3,1,5,3,63.0,9.0,1
7101000,2018-07-16,21:07:14,59.8513073,30.0216431,78,3,3,25,2,63.8,13.0,1
3900000,2018-07-17,01:10:31,56.0666344,37.3794319,50,4,3,4,1,47.0,11.0,1
6990000,2018-07-17,12:50:34,55.7238127,37.4347638,77,3,1,5,2,44.0,6.0,1
1000000,2018-07-19,09:49:05,56.874725,53.239742,18,3,1,5,2,23.0,5.0,1
3300000,2018-07-20,16:26:10,47.1383299,39.7507179,61,3,6,9,4,74.0,10.0,1
1590000,2018-07-22,09:14:37,47.2745017,38.9277634,61,3,1,3,1,38.0,11.0,1
5500000,2018-07-22,23:00:02,55.4951868,37.5543618,77,2,13,17,2,63.0,10.0,1
2050000,2018-07-26,07:38:12,55.10736,61.616595,74,3,6,9,3,61.0,9.0,1
1950000,2018-07-26,13:59:57,56.6496542,47.897717,12,3,9,9,1,45.0,14.0,11
1350000,2018-07-27,09:59:55,56.7990297,59.9012546,66,1,4,5,2,42.0,5.0,1
2430000,2018-07-27,11:13:53,45.0648634,39.0371658,23,2,10,17,1,51.0,20.0,1
2400000,2018-07-27,11:54:05,43.504688,43.627886,7,3,1,9,2,55.0,10.0,1
2700000,2018-07-27,12:48:28,47.2367538,39.8040792,61,3,4,5,3,62.0,6.0,1
1320000,2018-07-27,20:50:22,54.1864545,45.1459586,13,3,2,2,2,39.0,4.2,1
4000000,2018-07-29,11:43:02,56.7607948,60.701983,66,1,4,9,4,64.0,8.0,1
6390000,2018-07-29,15:38:03,59.9230199,30.4489763,78,1,9,10,3,72.4,8.7,1
3700000,2018-07-30,15:59:39,55.3999414,37.768844,50,1,13,14,2,56.6,8.1,1
8280000,2018-07-30,16:00:13,59.919874,30.371959,78,2,10,10,2,64.5,9.9,1
2991978,2018-07-31,10:33:09,59.7009509,30.3958856,78,1,1,5,-1,23.6,4.6,11
